Field,Data element,Description,Key Field,Checktable,Datatype,Length,Decimals,Possible values
RBNRM,RBNR,Catalog Profile,,T352B,CHAR,9,0,
MHDRZ,MHDRZ,Minimum Remaining Shelf Life,,,DEC,4,0,
MHDHB,MHDHB,Total shelf life,,,DEC,4,0,
MHDLP,MHDLP,Storage percentage,,,DEC,3,0,
INHME,INHME,Content unit,,T006,UNIT,3,0,
INHAL,INHAL,Net contents,,,QUAN,13,3,
VPREH,VPREH,Comparison price unit,,,DEC,5,0,
ETIAG,ETIAG,IS-R Labeling: material grouping (deactivated in 4.0),,TWEA,CHAR,18,0,
INHBR,INHBR,Gross contents,,,QUAN,13,3,
CMETH,OIB_CMETH,Quantity Conversion Method,,,CHAR,1,0,Possible values
CUOBF,CUOBM,Internal object number,,,NUMC,18,0,
KZUMW,KZUMW,Environmentally Relevant,,,CHAR,1,0,Possible values
KOSCH,KOSCH,Product allocation determination procedure,,T190S,CHAR,18,0,
SPROF,SPROF,Pricing profile for variants,,,CHAR,1,0,Possible values
NRFHG,NRFHG,Material qualifies for discount in kind,,,CHAR,1,0,Possible values
MFRPN,MFRPN,Manufacturer Part Number,,,CHAR,40,0,
MFRNR,MFRNR,Number of a Manufacturer,,LFA1,CHAR,10,0,
BMATN,MPMAT,Number of firm's own (internal) inventory-managed material,,MARA,CHAR,18,0,
MPROF,MPROF,Manufacturer Part Profile,,TMPPF,CHAR,4,0,
KZWSM,KZWSO,Units of measure usage,,,CHAR,1,0,Possible values
SAITY,SAITY,Rollout in a Season,,T6WSA,CHAR,2,0,
PROFL,ADGE_PROFL,Dangerous Goods Indicator Profile,,TDG41,CHAR,3,0,
IHIVI,ADGE_IHIVI,Indicator: Highly Viscous,,,CHAR,1,0,Possible values
ILOOS,ADGE_ILOOS,Indicator: In Bulk/Liquid,,,CHAR,1,0,Possible values
SERLV,SERLV,Level of Explicitness for Serial Number,,,CHAR,1,0,Possible values
KZGVH,KZGVH,Packaging Material is Closed Packaging,,,CHAR,1,0,Possible values
XGCHP,XGCHP,Indicator: Approved batch record required,,,CHAR,1,0,Possible values
KZEFF,CC_MTEFF,Assign effectivity parameter values/ override change numbers,,,CHAR,1,0,Possible values
COMPL,CSCP_COMP_LVL,Material completion level,,TCSCP_COMP_LVL,NUMC,2,0,
IPRKZ,DATTP,Period Indicator for Shelf Life Expiration Date,,,CHAR,1,0,
RDMHD,RDMHD,Rounding rule for calculation of SLED,,,CHAR,1,0,Possible values
